,timestamp,question_1,question_2,question_3,question_4,question_5,is_relevant,object,is_positive
1,2024-04-27 12:30:00,ChatGPT для обучения,"Не было полезной информации о том, как использовать ChatGPT для обучения.",Разбор различий в использовании GPT чата был неясным и неинформативным.,Отсутствие рекомендаций по использованию GPT чата для обучения сделало его неполезным.,Вопросы о затруднениях ответа и отсутствие рекомендаций сделали занятие неинформативным.,0,0,0.0
2,2024-04-28 09:15:00,ChatGPT для обучения,Разбор различий в использовании GPT чата был неинформативным Вебинар и непонятным.,Отсутствие рекомендаций и полезной информации по использованию GPT чата для обучения.,"Отсутствие предложений по использованию GPT чата для обучения в вебинаре не помогло понять, как его применять в обучении.","Вопросы о затруднениях ответа и отсутствие рекомендаций не помогли понять, как использовать GPT чат для обучения.",0,0,0.0
3,2024-04-29 14:45:00,ChatGPT для обучения,Отсутствие предложений по использованию GPT вебинар чата для обучения.,Отсутствие рекомендаций в вебинаре по использованию GPT чата для обучения не помогло понять его возможности.,Разбор различий в использовании GPT чата был непонятным и не помог понять его применение в обучении.,Вопросы о затруднениях ответа и отсутствие рекомендаций не сделали занятие информативным.,0,0,0.0
4,2024-04-30 11:00:00,ChatGPT для обучения,Отсутствие рекомендаций и полезной информации по использованию GPT чата для обучения.,"Разбор различий в использовании GPT чата был неинформативным и не помог понять, как его применять в обучении.",Отсутствие рекомендаций из вебинара по использованию GPT чата для обучения сделало его бесполезным.,Вопросы о затруднениях ответа и отсутствие рекомендаций сделали занятие неинформативным и бесполезным.,0,0,0.0
0,2024-04-26 08:00:00,Основы программирования,"Занятие было как путешествие во времени, но я попал в неудачную эпоху, где я не понимал ничего.",Вместо полезной информации получил странные сюрреалистические эмоции.,"Плохой преподаватель Занятие было как странный сон, где я плавал в бездне непонимания.","Может, следовало остаться в прошлом, вместо того, чтобы потратить время на это.",0,2,0.0
1,2024-04-27 12:30:00,Основы программирования,Вместо полезной информации получил странные сюрреалистические эмоции.,"Занятие было как странный сон, где я плавал в бездне непонимания.","Мне кажется, что на вебинаре я прыгал по облакам, но падал все ниже и ниже в бесконечное непонимание., преподаватель плохой","Было бы лучше, если бы я просто продолжил спать вместо того, чтобы ходить на этот вебинар.",0,2,0.0
2,2024-04-28 09:15:00,Основы программирования,"Занятие было как странный сон, где я плавал в бездне непонимания.","Мне кажется, что на вебинаре я прыгал по облакам, но падал все ниже и ниже в бесконечное непонимание.","Не понимаю, зачем я был на этом вебинаре, ничего полезного не услышал, только пустые слова.","Кажется, преподаватель на вебинаре пытался превратить нас в сонных программистов.",0,2,0.0
3,2024-04-29 14:45:00,Основы программирования,"Мне кажется, что на вебинаре я прыгал по облакам, но падал все ниже и ниже в бесконечное непонимание.","Не понимаю, зачем я был на этом вебинаре, ничего полезного не услышал, только пустые слова.","Кажется, преподаватель на вебинаре пытался превратить нас в сонных программистов.","Возможно, лучше бы я просто остался спать, чем ходил на этот вебинар.",0,2,0.0
4,2024-04-30 11:00:00,Основы программирования,"Не понимаю, зачем я был на этом вебинаре, ничего полезного не услышал, только пустые слова.","Кажется, преподаватель на вебинаре пытался превратить нас в сонных программистов.","Возможно, лучше бы я просто остался спать, чем ходил на этот вебинар. преподаватель","Все это было безумно бесполезно и непонятно, я потратил время зря.",0,2,0.0
0,2024-04-26 08:00:00,Новейшие тенденции в IT,"Не понимаю, зачем они вообще проводят этот программу, я не узнал ничего нового.","Весь программар был одним сплошным моментом затруднения, абсолютно бесполезным.",Моменты затруднения? Да весь вебинар был одним сплошным моментом затруднения.,"Изменения нужны немедленно, или это будет беда для программы, я не вижу смысла в этом.",0,1,0.0
1,2024-04-27 12:30:00,Новейшие тенденции в IT,"Вся программа был одним сплошным моментом затруднения, абсолютно бесполезным.",Моменты затруднения? Да весь программа был одним сплошным моментом затруднения.,"Изменения нужны немедленно, или это будет беда для программы, я не вижу смысла в этом.","Если продолжим в том же духе, лучше я займусь чем-то другим, чем тратить время на этот программа.",0,1,0.0
2,2024-04-28 09:15:00,Новейшие тенденции в IT,Моменты затруднения? Да весь программа был одним сплошным моментом затруднения.,"Изменения нужны немедленно, или это будет беда для программы, я не вижу смысла в этом.","Если продолжим в том же духе, лучше я займусь чем-то другим, чем тратить время на этот программа.","Кажется, это время можно было потратить куда более эффективно, чем на этот программа.",0,1,0.0
3,2024-04-29 14:45:00,Новейшие тенденции в IT,"Изменения нужны немедленно, или это будет беда для программы, я не вижу смысла в этом.","Если продолжим в том же духе, лучше я займусь чем-то другим, чем тратить время на этот программа.","Кажется, это время можно было потратить куда более эффективно, чем на этот вебинар.","Если так продолжится, то программа будет скоро в упадке из-за таких программа.",0,1,0.0
4,2024-04-30 11:00:00,Новейшие тенденции в IT,"Если продолжим в том же духе, лучше я займусь чем-то другим, чем тратить время на этот вебинар.","Кажется, это время можно было потратить куда более эффективно, чем на этот программа.","Если так продолжится, то программа будет скоро в упадке из-за таких вебинаров.","Лучше бы я вообще не ходил на эту программу, чем потратил на него свое время.",0,1,0.0
0,2024-04-26 08:00:00,ChatGPT для обучения,Обсуждение способов использования GPT чата для обучения было безрезультатным.,Обсуждение GPT чата на вебинаре не принесло ничего полезного.,Вебинар не предоставил никакой полезной информации о GPT чате.,Отсутствие предложений по использованию GPT чата на вебинаре было разочарованием.,0,0,0.0
1,2024-04-27 12:30:00,ChatGPT для обучения,Обсуждение GPT чата на вебинаре не принесло ничего полезного.,Вебинар не предоставил никакой полезной информации о GPT чате.,Отсутствие предложений по использованию GPT чата на вебинаре было разочарованием.,Отсутствие рекомендаций по использованию GPT чата делает этот вебинар бесполезным.,0,0,0.0
2,2024-04-28 09:15:00,ChatGPT для обучения,Вебинар не предоставил никакой полезной информации о GPT чате.,Отсутствие предложений по использованию GPT чата на вебинаре было разочарованием.,Отсутствие рекомендаций по использованию GPT чата делает этот вебинар бесполезным.,Отсутствие рекомендаций по использованию GPT чата делает этот вебинар бесполезным.,0,0,0.0
3,2024-04-29 14:45:00,ChatGPT для обучения,Отсутствие предложений по использованию GPT чата на вебинаре было разочарованием.,Отсутствие рекомендаций по использованию GPT чата делает этот вебинар бесполезным.,Отсутствие рекомендаций по использованию GPT чата делает этот вебинар бесполезным.,Вебинар не предоставил никакой полезной информации о GPT чате.,0,0,0.0
4,2024-04-30 11:00:00,ChatGPT для обучения,Отсутствие рекомендаций по использованию GPT чата делает этот вебинар бесполезным.,Отсутствие рекомендаций по использованию GPT чата делает этот вебинар бесполезным.,Вебинар не предоставил никакой полезной информации о GPT чате.,Вебинар не предоставил никакой полезной информации о GPT чате.,0,0,0.0
0,2024-04-01 10:10:25,Основы программирования,"Препод такой себе, занятие оказался бессмысленным и скучным, не стоит тратить время на него.","Вебинар не принес никакой пользы, не стоит тратить на него время.","Преподаватель не готовился к занятию и не имел понятия, что делает.","Не рекомендую этот вебинар никому, это полная трата времени и денег.",0,2,0.0
1,2024-04-02 13:45:00,Основы программирования,"Полное разочарование, преподаватель не смог объяснить ничего понятно.","Я ничего не понял, преподаватель говорил каким-то непонятным языком.","Я остался с ощущением, что преподаватель совершенно не компетентен в своей области.","Лучше не тратить время на этот вебинар, вы ничему не научитесь.",0,2,0.0
2,2024-04-03 11:20:00,Основы программирования,Ужасный преподаватель говорил непонятно и сбивал с толку.,"Впечатление, что преподаватель сам не знает, о чем говорит.","Потраченное время, преподаватель не заинтересован в передаче знаний.","Я бы поставил минус, если бы это было возможно, вебинар просто отвратительный.",0,2,0.0
3,2024-04-04 09:30:00,Основы программирования,"Просто пустая трата времени, никакой полезной информации не было.","Абсолютная бессмыслица, чувствуется полное непонимание преподавателем своего предмета.","Самый худший преподаватель, с которым мне приходилось сталкиваться.","Преподаватель никакой, это просто позор для всей программы.",0,2,0.0
4,2024-04-05 14:00:00,Основы программирования,"Полное отсутствие профессионализма, не рекомендую никому этот вебинар.","Это был худший вебинар в моей жизни, абсолютно ничему меня не научил.","Я не понимаю, почему такие некомпетентные люди держат вебинары.","Самый ужасный вебинар, который мне доводилось видеть, а я видел много всякого.",0,2,0.0
0,2024-04-07 03:50:30,Основы программирования,"Преподаватель проявил полное неуважение к студентам, его поведение было абсолютно непрофессиональным.","Преподаватель не смог удержать внимание аудитории, занятие было полным беспорядком и хаосом.","Может быть, следует найти другого преподавателя, этот абсолютно не справляется с своей работой.","Преподаватель проигнорировал все мои вопросы, это было абсолютно бесполезно.",0,2,0.0
1,2024-04-08 14:20:00,Основы программирования,"Лектор не смог обьяснить ничего ясно, он как будто не готовился к занятию и не знал о чем говорит.","Ни один вопрос не был решен, лектор откровенно проявил свою неспособность.","Нужно срочно пересмотреть подход к подбору преподавателей, такой профессиональный провал недопустим.","Мне кажется, что лучше было бы не посещать это занятие, это было полное времяпрепровождение.",0,2,0.0
2,2024-04-09 09:45:00,Основы программирования,"Это был худший опыт обучения в моей жизни, преподаватель был абсолютно неспособен контролировать ситуацию.","Лектор не смог объяснить ничего понятно, это было просто позорище.","Предлагаю провести дополнительные тренинги для преподавателей, чтобы они научились эффективнее общаться со студентами.","Я ничего не вынес из этого занятия, кроме разочарования и раздражения.",0,2,0.0
3,2024-04-10 11:30:00,Основы программирования,"Преподаватель не проявил интереса к теме занятия, его подход к обучению был абсолютно непрофессиональным.","Преподаватель проигнорировал все вопросы аудитории, его невнимание было просто непростительным.","Может быть, стоит внимательнее отбирать преподавателей, чтобы такие ситуации больше не повторялись.","Полное отсутствие профессионализма, преподаватель не заслуживает даже минимального доверия.",0,2,0.0
4,2024-04-11 16:00:00,Основы программирования,"Полное разочарование, лектор не смог решить никаких проблем, возникших в процессе обучения.","Лектор проявил полную неспособность к управлению ситуацией, это был настоящий провал.","Пора подумать о замене этого преподавателя, его профессиональные недостатки слишком очевидны.","Это было абсолютно бессмысленное времяпровождение, ничего полезного я не вынес из этого.",0,2,0.0
0,2024-04-07 03:50:30,Основы программирования,"Преподаватель вёл себя так, будто ему не было дела до студентов, его отношение оставляло желать лучшего.","Лектор не смог удержать наше внимание, занятие было просто беспорядком и хаосом.","Может быть, стоит найти другого преподавателя, этот абсолютно не подходит для работы с студентами.","Преподаватель проигнорировал все мои вопросы, это было абсолютно бесполезно.",0,2,0.0
1,2024-04-08 14:20:00,Основы программирования,"Лектор не смог передать нам ничего полезного, его изложение было абсолютно непонятным.","Ни один из наших вопросов не нашел ответа, преподаватель проявил полное безразличие.","Нам нужно пересмотреть процесс подбора преподавателей, такие провалы недопустимы.","Мне кажется, что лучше было бы не ходить на это занятие, это была просто пустая трата времени.",0,2,0.0
2,2024-04-09 09:45:00,Основы программирования,"Это был настоящий ад, преподаватель абсолютно не контролировал ситуацию и не мог донести информацию до студентов.","Я так и не понял, в чем суть занятия, преподаватель только запутал нас еще больше.","Предлагаю организовать дополнительные курсы для преподавателей, чтобы они научились лучше общаться со студентами.","Я ничего не извлек из этого занятия, кроме разочарования и раздражения.",0,2,0.0
3,2024-04-10 11:30:00,Основы программирования,"Преподаватель выглядел абсолютно равнодушным к теме занятия, его профессионализм оставлял желать лучшего.","Преподаватель игнорировал все наши вопросы, его безразличие было непростительным.","Может быть, стоит быть более внимательным при выборе преподавателей, чтобы такие ситуации не повторялись.","Полное отсутствие профессионализма, преподаватель не заслуживает даже минимального доверия.",0,2,0.0
4,2024-04-11 16:00:00,Основы программирования,"Лектор даже не пытался разобраться в возникших проблемах, его безразличие было просто печальным.","Лектор абсолютно не справился с управлением ситуацией, это было просто печально.","Пора подумать о замене этого преподавателя, его непрофессионализм очевиден.","Это было полное времяпрепровождение, ничего полезного я не вынес из этого.",0,2,0.0
0,2024-04-07 03:50:30,Основы программирования,"Преподаватель вёл себя так, будто ему было всё равно на студентов, он был абсолютно безразличен.","Лектор не смог заинтересовать нас, занятие было просто бессмысленным трата времени.","Может быть, стоит рассмотреть замену преподавателя, такое поведение недопустимо.","Преподаватель проигнорировал все мои вопросы, это было абсолютно бесполезно.",0,2,0.0
1,2024-04-08 14:20:00,Основы программирования,"Лектор не смог передать нам ничего полезного, его изложение было крайне неясным и запутанным.","Ни один из наших вопросов не нашел ответа, преподаватель проявил полную безответственность.","Нам следует пересмотреть процесс отбора преподавателей, такие провалы не приемлемы.","Мне кажется, что лучше было бы не ходить на это занятие, это была просто пустая трата времени.",0,2,0.0
2,2024-04-09 09:45:00,Основы программирования,"Занятие было настоящим кошмаром, преподаватель совершенно не мог контролировать процесс и удерживать внимание группы.","Я так и не понял, о чем шла речь, преподаватель только запутал нас еще больше.","Предлагаю организовать дополнительные курсы для преподавателей, чтобы они научились лучше общаться со студентами.","Я ничего не понял из этого занятия, кроме разочарования и раздражения.",0,2,0.0
3,2024-04-10 11:30:00,Основы программирования,"Преподаватель казался абсолютно безразличным к теме, его профессиональные навыки оставляли желать лучшего.","Преподаватель игнорировал все наши вопросы, его безразличие было просто неприемлемым.","Может быть, стоит быть более внимательным при выборе преподавателей, чтобы такие ситуации не повторялись.","Полное отсутствие профессионализма, преподаватель не заслуживает даже минимального доверия.",0,2,0.0
4,2024-04-11 16:00:00,Основы программирования,"Лектор даже не старался решить возникшие проблемы, его безразличие было просто обескураживающим.","Лектор совершенно не справился с управлением ситуацией, это было просто удручающе.","Пора задуматься о замене этого преподавателя, его непрофессионализм очевиден.","Это было полное времяпрепровождение, ничего полезного я не вынес из этого.",0,2,0.0
0,2024-04-22 19:04:00,Новейшие тенденции в IT,"Мне понравилось, как этот курс заставил меня осознать, насколько ужасны некоторые программы обучения.","Если бы я получал доллар за каждый момент затруднения, я бы стал миллионером после этого курса.",Какие изменения я бы предложил? Убрать этот курс и заменить его чем-то более качественным.,"Мне было бы интересно изучать что-то, что не вызывает у меня только разочарование и отвращение.",0,1,0.0
1,2024-04-23 12:30:00,Новейшие тенденции в IT,"Лучше бы я потратил это время на что-то более продуктивное, чем это пустое занятие.","Моменты затруднения? Нет, это было полное времяпровождение.","Этот курс нуждается в серьезной переработке, потому что он не дает ничего полезного.","Я бы предпочел изучать что-то, что действительно имеет ценность, в отличие от этого бесполезного курса.",0,1,0.0
2,2024-04-24 15:45:00,Новейшие тенденции в IT,"Мне кажется, что этот курс просто не соответствует своим обещаниям, я ничего полезного не узнал.","Программа курса была такой запутанной, что я даже не понял, о чем шла речь.","Программа курса была бы неплохой, если бы ее смог понять хотя бы один человек.","Если бы я знал заранее, что этот курс будет таким плохим, я бы ни за что не потратил на него время.",0,1,0.0
3,2024-04-25 09:00:00,Новейшие тенденции в IT,"Программа обучения такая непонятная и неорганизованная, что это просто позор.","Мне пришлось потратить дополнительное время, чтобы разобраться в этой программе, потому что она была такой плохой.","Я бы не советовал этот курс даже своему худшему врагу, потому что он абсолютно бесполезен.","Этот курс был полным провалом, и я сожалею, что потратил на него свое время и деньги.",0,1,0.0
4,2024-04-26 16:15:00,Новейшие тенденции в IT,"Это было самое ужасное времяпровождение, я был абсолютно разочарован содержанием этого курса.","Этот курс вызвал у меня только негативные эмоции, потому что он был такой плохой.","Если бы я мог вернуть время назад, я бы ни за что не записался на этот ужасный курс.","Мне было бы интересно изучать что-то, что действительно стоит моего времени, а не этот бесполезный курс.",0,1,0.0
0,2024-04-08 14:30:00,Основы программирования,Дискуссия о писании кода одной рукой была неинтересной и непонятной.,Дискуссия о писании кода одной рукой оказалась бессмысленной и безполезной.,"Не вижу смысла в предложении о курсе по печати кода одной рукой, это абсурд.","Я не вижу ценности в изучении писания кода ногой, так что этот вебинар для меня был бесполезным.",0,0,0.0
1,2024-04-09 16:45:00,Основы программирования,Ужасное качество вебинара сделало его абсолютно непродуктивным.,"Качество этого вебинара было настолько низким, что я даже не смог сосредоточиться на материале.","Качество этого вебинара было настолько низким, что я не понимаю, зачем вообще проводить такие мероприятия.","Этот вебинар был абсолютно бесполезным, и я не понимаю, зачем на него тратят время и ресурсы.",0,0,0.0
2,2024-04-10 10:00:00,Основы программирования,"Этот вебинар был полным провалом, я ничего полезного не узнал.","Этот вебинар был полным отстоем, и я ничего не понял из того, что было рассказано.","Этот вебинар был полным провалом, и я не понимаю, почему его вообще проводят.","Вебинар оказался полным провалом, и я не узнал ничего нового из этого.",0,0,0.0
3,2024-04-11 09:15:00,Основы программирования,"Я потратил время на этот ужасный вебинар, и теперь жалею об этом.","Время, потраченное на этот вебинар, было полностью потеряно, потому что он был ужасным.",Я не вижу смысла в изучении материала на таких ужасных вебинарах.,"Этот вебинар был таким плохим, что я сразу пожалел, что записался на него.",0,0,0.0
4,2024-04-12 12:30:00,Основы программирования,"Просто ужасный вебинар, не советую его никому.","Проведение этого вебинара было настолько плохим, что я сразу пожалел, что записался на него.","Предложение о проведении этого вебинара было безумием, потому что он был просто ужасным.","Проведение этого вебинара было таким ужасным, что я не мог поверить, насколько он был плохим.",0,0,0.0
0,2024-04-08 14:30:00,Основы программирования,Вебинар был неинтересным и непонятным.,Бессмысленная и безполезная дискуссия.,Не вижу смысла в таких предложениях.,"Бесполезное мероприятие, ничего нового не узнал.",0,0,0.0
1,2024-04-09 16:45:00,Основы программирования,Качество вебинара оставляло желать лучшего.,Низкое качество и непонятный материал.,"Не понимаю, зачем проводят такие вебинары.",Потерянное время и ресурсы на бесполезный вебинар.,0,0,0.0
2,2024-04-10 10:00:00,Основы программирования,Этот вебинар был бесполезным.,Полное отсутствие пользы.,Вопрос о смысле проведения таких мероприятий.,"Полный провал, ничего полезного не извлек.",0,0,0.0
3,2024-04-11 09:15:00,Основы программирования,Вебинар был полным провалом.,Потерянное время на провальном вебинаре.,Нет смысла тратить время на такие вебинары.,Жалость о потраченном времени на вебинар.,0,0,0.0
4,2024-04-12 12:30:00,Основы программирования,Ужасное качество вебинара было неудовлетворительным.,Никакой ценности в участии в этом вебинаре.,Предложение о проведении вебинара было неправильным.,"Непонятно, зачем нужен был этот вебинар.",0,0,0.0
0,2024-04-08 14:30:00,Основы программирования,Этот вебинар был просто отвратительным.,Вебинар оставил лишь неприятное впечатление.,"Бесполезный вебинар, не стоит тратить на него время.","Полное разочарование от этого вебинара, ничего полезного не узнал.",0,0,0.0
1,2024-04-09 16:45:00,Основы программирования,Вебинар был ужасным и абсолютно бесполезным.,"Этот вебинар был ужасным, я не смог извлечь ничего полезного.",Никакого смысла в участии в этом вебинаре я не увидел.,"Ужасный вебинар, я потратил время зря.",0,0,0.0
2,2024-04-10 10:00:00,Основы программирования,"Качество вебинара оставляло желать лучшего, но это было ожидаемо.","Проваленный вебинар, я не узнал ничего нового.",Вопрос о целесообразности таких мероприятий остается открытым.,Потраченное время на вебинар было потерей времени.,0,0,0.0
3,2024-04-11 09:15:00,Основы программирования,"Это был ужасный вебинар, я потратил время зря.",Полное разочарование от этого вебинара.,Не вижу смысла проводить такие вебинары.,Этот вебинар был полным провалом.,0,0,0.0
4,2024-04-12 12:30:00,Основы программирования,"Полное разочарование, ничего не понял на этом вебинаре.",Не советую никому тратить время на этот вебинар.,"Мне не понятно, зачем проводить такие вебинары.","Полное разочарование, ничего не извлек из этого вебинара.",0,0,0.0
0,2024-04-08 14:30:00,Основы программирования,"Этот ужасный вебинар был абсолютным провалом, полное отвращение!","Все было так плохо, что даже начать не знаю!","Полная трата времени, не стоит даже думать об этом вебинаре!",Как можно было провести такой ужасный вебинар? Я потерял всякую надежду!,0,0,0.0
